Name,id,sku,price,short_description,categories,tags,color,org_url,img-url,download_url,membership_level,images
2019应届生求职通用个人简历模板,1,woo-gen-ch,$10,应届生求职通用个人简历模板,"Chinese,coloered",general,colored,http://cv.qiaobutang.com/lp/540588700cf2f9642cfa6830,https://dl.airtable.com/.attachments/62189d4022c34a1b23f622159c29631d/cf0ea406/1.2019.png,https://dl.airtable.com/.attachments/f23b0e870beff7611b0ab7a468868a16/10f20a76/1..zip,"free,silver,gold",1. 2019应届生求职通用个人简历模板.png (https://dl.airtable.com/.attachments/454838d5aa2ed3b7569476bc8fde3bfd/f8bbddf2/1.2019.png)
应届生英文简历模板,2,woo-gen-en,$10,适合无实习经历，有校园活动经历的应届毕业生 | 黑白简历模板,"English,B&W",general,B&W,http://cv.qiaobutang.com/lp/52da13ef0cf29e65c42a9a0f,https://dl.airtable.com/.attachments/37baba66c50e51570ceb577d371d4c96/e7059106/2..png,https://dl.airtable.com/.attachments/2d5b5d4bc9a4f503ce4eeaa140db184a/9621c4c3/2..zip,"silver,gold,free",2. 应届生英文简历模板.png (https://dl.airtable.com/.attachments/872495453408ced330ae0503458b8a7e/9ee063ce/2..png)
产品助理简历模板,3,woo-pro-ch-1,$5,适合有产品管理实习经历、校园实践的应届生应聘产品助理岗位 | 黑白简历模板,"Chinese,B&W",product,B&W,http://cv.qiaobutang.com/lp/5327ec860cf2b1497fe2905d,https://dl.airtable.com/.attachments/d08c980824664b5e515a32316cc643f3/30bb76e1/3..png,https://dl.airtable.com/.attachments/328bb1420dfb32a778c06330974e5576/087c097c/3..zip,"silver,gold",3. 产品助理简历模板.png (https://dl.airtable.com/.attachments/3e44d68c524042977ff6f7693866d7c5/b4f5573b/3..png)
客户经理助理岗位简历模板,4,woo-pro-ch-2,$15,适合专业对口，有对应岗位实习经历，有校园活动经历，但经历数量较少的应届生，应聘客户经理助理岗位；求职意向明确，有自我评价，不建议增加求职照 | 彩色简历模板,"Chinese,coloered",product,colored,http://cv.qiaobutang.com/lp/535f13cb0cf238f1cfbfe992,https://dl.airtable.com/.attachments/cda768a6447e613c0e46a446b87c0ddf/5be4560a/4..png,https://dl.airtable.com/.attachments/5a865560678f1e434bedabe20bbd84a7/8292d86d/4..zip,"silver,gold",4. 客户经理助理岗位简历模板.png (https://dl.airtable.com/.attachments/53b83784354cdca1220af6bde1eeffa3/402327fd/4..png)
工业设计英文简历模板（产品/图形/UX设计）,5,woo-des-en,$10,经历和技能分栏列示；适合有业内经历，掌握多种软件技能的学生 | 彩色简历模板 | 新颖简历模板,"English,B&W",UI/UX,B&W,http://cv.qiaobutang.com/lp/52cb78510cf2ba20ceaa3654,https://dl.airtable.com/.attachments/a551e8b4b36fbfee5ce73e9d5845e550/e7d4fae8/5.UX.png,https://dl.airtable.com/.attachments/b8643c52e4135c97e0af2784b48fcb80/f95ac4ee/5.__UX.zip,gold,5. 工业设计英文简历模板（产品:图形:UX设计）.png (https://dl.airtable.com/.attachments/22570184a51a3af3bfc9b6b3a9da279b/385d95f9/5.UX.png)
UI设计师岗位个人简历模板,6,woo-des-ch,$15,适合有UI设计实践经历的应届生，应聘UI设计师岗位 | 彩色简历模板,"Chinese,coloered",UI/UX,colored,http://cv.qiaobutang.com/lp/546051940cf29bbf020a414c,https://dl.airtable.com/.attachments/37a0b89622c58f156fcadcb70e3de1a4/65f1f03a/6.UI.png,https://dl.airtable.com/.attachments/6f333f2be35b0d756c77effdd732c437/b700bd8d/6.UI.zip,gold,6.UI设计师岗位个人简历模板.png (https://dl.airtable.com/.attachments/fbc89e95bb2d7d4e29761725984fd70d/cfa404ac/6.UI.png)
市场营销类英文简历模板,7,woo-mar-en,$10,有多次市场、销售类实习；简写不相关活动 | 黑白简历模板,"English,B&W",marketing,B&W,http://cv.qiaobutang.com/lp/52c67ec40cf2e5317ec020d1,https://dl.airtable.com/.attachments/72d6dfd3f577d09d94a1c3f7b8fac856/bc6ae7ba/7..png,https://dl.airtable.com/.attachments/2ad2d756ddf140961e723c17a8e186e2/73e4f189/7..zip,gold,7. 市场营销类英文简历模板.png (https://dl.airtable.com/.attachments/8c15173f8b95accd3f5f970bacc5423a/810c0a42/7..png)
市场策划岗位简历模板,8,woo-mar-ch,$15,适合专业对口，成绩一般，无实习经历，校园社会活动经历丰富的应届生；个人信息详细，有自我评价 | 彩色简历模板,"Chinese,coloered",marketing,colored,http://cv.qiaobutang.com/lp/5357337e0cf2da0628e443f4,https://dl.airtable.com/.attachments/9f2aa32d58fd4780c3a20fa454e1a8c5/515c20e5/8..png,https://dl.airtable.com/.attachments/1023b17fa1ef8f0596f6d3d7d449cbbc/0f436ef6/8..zip,"silver,gold",8. 市场策划岗位简历模板.png (https://dl.airtable.com/.attachments/9674fd616412f6318da0a2356dfd2f98/a0ade381/8..png)
